Entity,Code,Date,daily_new_confirmed,annotations,icl_mean,ihme_mean,yyg_mean,lshtm_median
Australia,AUS,2020-01-02,0.0,,,,,
Australia,AUS,2020-01-03,0.0,,,,,
Australia,AUS,2020-01-04,0.0,,,,,
Australia,AUS,2020-01-05,0.0,,,,,
Australia,AUS,2020-01-06,0.0,,,,,
Australia,AUS,2020-01-07,0.0,,,,,
Australia,AUS,2020-01-08,0.0,,,,,
Australia,AUS,2020-01-09,0.0,,,,,
Australia,AUS,2020-01-10,0.0,,,,,
Australia,AUS,2020-01-11,0.0,,,,,
Australia,AUS,2020-01-12,0.0,,,,,
Australia,AUS,2020-01-13,0.0,,,,,
Australia,AUS,2020-01-14,0.0,,,,,
Australia,AUS,2020-01-15,0.0,,,,,
Australia,AUS,2020-01-16,0.0,,,,,
Australia,AUS,2020-01-17,0.0,,,,,
Australia,AUS,2020-01-18,0.0,,,,,
Australia,AUS,2020-01-19,0.0,,,,,
Australia,AUS,2020-01-20,0.0,,,,,
Australia,AUS,2020-01-21,0.0,,,,,
Australia,AUS,2020-01-22,0.0,,,,,
Australia,AUS,2020-01-23,0.0,,,,,
Australia,AUS,2020-01-24,0.0,,,,,
Australia,AUS,2020-01-25,0.14286,,,,,
Australia,AUS,2020-01-26,0.57143,,,,,
Australia,AUS,2020-01-27,0.57143,,,,,
Australia,AUS,2020-01-28,0.57143,,,,,
Australia,AUS,2020-01-29,0.57143,,0.0,,,
Australia,AUS,2020-01-30,0.85714,,0.5,,,
Australia,AUS,2020-01-31,1.0,,0.47,,,
Australia,AUS,2020-02-01,1.14286,,0.52,,,
Australia,AUS,2020-02-02,1.0,,0.72,,,
Australia,AUS,2020-02-03,1.0,,0.88,,,
Australia,AUS,2020-02-04,1.0,,1.23,6.13160115163175,,
Australia,AUS,2020-02-05,1.14286,,1.43,6.395986425599509,,
Australia,AUS,2020-02-06,1.0,,1.26,6.69152626638046,32.0,
Australia,AUS,2020-02-07,1.0,,1.6,7.023861292978059,32.0,
Australia,AUS,2020-02-08,0.71429,,2.02,7.39756592492998,32.0,
Australia,AUS,2020-02-09,0.42857,,2.28,7.816064527839769,32.0,
Australia,AUS,2020-02-10,0.42857,,2.64,8.28176660031206,32.0,
Australia,AUS,2020-02-11,0.42857,,3.11,8.79635412590663,32.0,
Australia,AUS,2020-02-12,0.28570999999999996,,3.51,9.36102046113167,32.0,
Australia,AUS,2020-02-13,0.14286,,4.1,9.976713938206931,32.0,
Australia,AUS,2020-02-14,0.14286,,5.23,10.644393523164698,32.0,
Australia,AUS,2020-02-15,0.14286,,5.81,11.365398622681802,70.0,
Australia,AUS,2020-02-16,0.14286,,7.1,12.141960470810002,70.0,
Australia,AUS,2020-02-17,0.14286,,8.11,12.9780384934441,72.0,
Australia,AUS,2020-02-18,0.14286,,9.37,13.8806131031399,77.0,
Australia,AUS,2020-02-19,0.14286,,10.26,14.8611418348522,86.0,
Australia,AUS,2020-02-20,0.14286,,12.28,15.936787362207301,101.0,
Australia,AUS,2020-02-21,0.28570999999999996,,13.42,17.1313200330464,112.0,
