Entity,Code,Date,daily_new_confirmed,annotations,icl_mean,icl_lower,icl_upper
Australia,AUS,2020-01-02,0.0,,,,
Australia,AUS,2020-01-03,0.0,,,,
Australia,AUS,2020-01-04,0.0,,,,
Australia,AUS,2020-01-05,0.0,,,,
Australia,AUS,2020-01-06,0.0,,,,
Australia,AUS,2020-01-07,0.0,,,,
Australia,AUS,2020-01-08,0.0,,,,
Australia,AUS,2020-01-09,0.0,,,,
Australia,AUS,2020-01-10,0.0,,,,
Australia,AUS,2020-01-11,0.0,,,,
Australia,AUS,2020-01-12,0.0,,,,
Australia,AUS,2020-01-13,0.0,,,,
Australia,AUS,2020-01-14,0.0,,,,
Australia,AUS,2020-01-15,0.0,,,,
Australia,AUS,2020-01-16,0.0,,,,
Australia,AUS,2020-01-17,0.0,,,,
Australia,AUS,2020-01-18,0.0,,,,
Australia,AUS,2020-01-19,0.0,,,,
Australia,AUS,2020-01-20,0.0,,,,
Australia,AUS,2020-01-21,0.0,,,,
Australia,AUS,2020-01-22,0.0,,,,
Australia,AUS,2020-01-23,0.0,,,,
Australia,AUS,2020-01-24,0.0,,,,
Australia,AUS,2020-01-25,0.14286,,,,
Australia,AUS,2020-01-26,0.57143,,,,
Australia,AUS,2020-01-27,0.57143,,,,
Australia,AUS,2020-01-28,0.57143,,,,
Australia,AUS,2020-01-29,0.57143,,0.0,0.0,0.0
Australia,AUS,2020-01-30,0.85714,,0.5,0.02,0.98
Australia,AUS,2020-01-31,1.0,,0.47,0.0,2.0
Australia,AUS,2020-02-01,1.14286,,0.52,0.0,2.0
Australia,AUS,2020-02-02,1.0,,0.72,0.0,2.0
Australia,AUS,2020-02-03,1.0,,0.88,0.0,3.0
Australia,AUS,2020-02-04,1.0,,1.23,0.0,3.52
Australia,AUS,2020-02-05,1.14286,,1.43,0.0,4.0
Australia,AUS,2020-02-06,1.0,,1.26,0.0,4.0
Australia,AUS,2020-02-07,1.0,,1.6,0.0,5.0
Australia,AUS,2020-02-08,0.71429,,2.02,0.0,5.52
Australia,AUS,2020-02-09,0.42857,,2.28,0.0,6.52
Australia,AUS,2020-02-10,0.42857,,2.64,0.0,7.0
Australia,AUS,2020-02-11,0.42857,,3.11,0.0,8.52
Australia,AUS,2020-02-12,0.28570999999999996,,3.51,0.0,9.0
Australia,AUS,2020-02-13,0.14286,,4.1,0.0,11.05
Australia,AUS,2020-02-14,0.14286,,5.23,0.0,14.52
Australia,AUS,2020-02-15,0.14286,,5.81,0.48,16.05
Australia,AUS,2020-02-16,0.14286,,7.1,0.0,18.52
Australia,AUS,2020-02-17,0.14286,,8.11,0.48,21.05
Australia,AUS,2020-02-18,0.14286,,9.37,0.0,27.0
Australia,AUS,2020-02-19,0.14286,,10.26,1.0,30.05
Australia,AUS,2020-02-20,0.14286,,12.28,1.0,33.05
Australia,AUS,2020-02-21,0.28570999999999996,,13.42,1.0,32.1
Australia,AUS,2020-02-22,0.85714,,17.03,1.48,47.0
Australia,AUS,2020-02-23,1.0,,19.01,3.0,46.1
Australia,AUS,2020-02-24,1.0,,22.15,3.0,60.72
