Entity,Code,Date,"Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned) Annotations","Daily new estimated infections of COVID-19 (ICL, mean)","Daily new estimated infections of COVID-19 (IHME, mean)","Daily new estimated infections of COVID-19 (YYG, mean)","Daily new estimated infections of COVID-19 (LSHTM, median)"
Afghanistan,AFG,2020-01-02,0,,,,,
Afghanistan,AFG,2020-01-03,0,,,,,
Afghanistan,AFG,2020-01-04,0,,,,,
Afghanistan,AFG,2020-01-05,0,,,,,
Afghanistan,AFG,2020-01-06,0,,,,,
Afghanistan,AFG,2020-01-07,0,,,,,
Afghanistan,AFG,2020-01-08,0,,,,,
Afghanistan,AFG,2020-01-09,0,,,,,
Afghanistan,AFG,2020-01-10,0,,,,,
Afghanistan,AFG,2020-01-11,0,,,,,
Afghanistan,AFG,2020-01-12,0,,,,,
Afghanistan,AFG,2020-01-13,0,,,,,
Afghanistan,AFG,2020-01-14,0,,,,,
Afghanistan,AFG,2020-01-15,0,,,,,
Afghanistan,AFG,2020-01-16,0,,,,,
Afghanistan,AFG,2020-01-17,0,,,,,
Afghanistan,AFG,2020-01-18,0,,,,,
Afghanistan,AFG,2020-01-19,0,,,,,
Afghanistan,AFG,2020-01-20,0,,,,,
Afghanistan,AFG,2020-01-21,0,,,,,
Afghanistan,AFG,2020-01-22,0,,,,,
Afghanistan,AFG,2020-01-23,0,,,,,
Afghanistan,AFG,2020-01-24,0,,,,,
Afghanistan,AFG,2020-01-25,0,,,,,
Afghanistan,AFG,2020-01-26,0,,,,,
Afghanistan,AFG,2020-01-27,0,,,,,
Afghanistan,AFG,2020-01-28,0,,,,,
Afghanistan,AFG,2020-01-29,0,,,,,
Afghanistan,AFG,2020-01-30,0,,,,,
Afghanistan,AFG,2020-01-31,0,,,,,
Afghanistan,AFG,2020-02-01,0,,,,,
Afghanistan,AFG,2020-02-02,0,,,,,
Afghanistan,AFG,2020-02-03,0,,,,,
Afghanistan,AFG,2020-02-04,0,,,1.57522430385509,,
Afghanistan,AFG,2020-02-05,0,,,3.2784642341724,,
Afghanistan,AFG,2020-02-06,0,,,4.99953933168093,,
Afghanistan,AFG,2020-02-07,0,,,6.9627263322238,,
Afghanistan,AFG,2020-02-08,0,,,8.93856332097478,,
Afghanistan,AFG,2020-02-09,0,,,9.66032690940239,,
Afghanistan,AFG,2020-02-10,0,,,10.4659748856335,,
Afghanistan,AFG,2020-02-11,0,,,11.3582101898277,,
Afghanistan,AFG,2020-02-12,0,,,12.3404920964499,,
Afghanistan,AFG,2020-02-13,0,,0,13.4172917706168,,
Afghanistan,AFG,2020-02-14,0,,0.25,14.594507670747,,
Afghanistan,AFG,2020-02-15,0,,0.79,15.8802500635188,,
Afghanistan,AFG,2020-02-16,0,,0.75,17.2860125612598,,
Afghanistan,AFG,2020-02-17,0,,0.98,18.8283733306665,,
Afghanistan,AFG,2020-02-18,0,,1.29,20.5310310024721,,
Afghanistan,AFG,2020-02-19,0,,1.61,22.4269078156199,,
Afghanistan,AFG,2020-02-20,0,,1.44,24.5601901537903,,
Afghanistan,AFG,2020-02-21,0,,2.24,26.9883978132362,,
Afghanistan,AFG,2020-02-22,0,,2.52,29.7844315378471,,
Afghanistan,AFG,2020-02-23,0,,3.08,33.0389842240003,,
Afghanistan,AFG,2020-02-24,0,,3.4,36.8634640920145,,
Afghanistan,AFG,2020-02-25,0.14286,,4.6,41.3938226557572,,
Afghanistan,AFG,2020-02-26,0.14286,,5.29,46.7951170584555,,
Afghanistan,AFG,2020-02-27,0.14286,,5.75,53.2661721882922,,
Afghanistan,AFG,2020-02-28,0.14286,,7.43,61.0434083997516,,
Afghanistan,AFG,2020-02-29,0.14286,,8.32,70.4032441866491,,
Afghanistan,AFG,2020-03-01,0.14286,,10.68,81.6619117934689,,
Afghanistan,AFG,2020-03-02,0.14286,,12.91,95.1716919123436,,
Afghanistan,AFG,2020-03-03,0,,14.65,111.315262405053,,
Afghanistan,AFG,2020-03-04,0,,18.01,130.497457327759,,
Afghanistan,AFG,2020-03-05,0,,21.49,153.134289084861,,
Afghanistan,AFG,2020-03-06,0,,26.01,179.636917119997,,
Afghanistan,AFG,2020-03-07,,,30.04,210.388941054916,,
Afghanistan,AFG,2020-03-08,,,35.87,245.716353665772,,
Afghanistan,AFG,2020-03-09,,,41.96,285.851239950033,,
Afghanistan,AFG,2020-03-10,,,50.09,330.891808562098,,
Afghanistan,AFG,2020-03-11,,,57.45,380.768446205395,,
Afghanistan,AFG,2020-03-12,,,66.24,435.21617559092,,
Afghanistan,AFG,2020-03-13,,,78.4,493.763072348167,,
Afghanistan,AFG,2020-03-14,,,93.66,555.742346388161,,
Afghanistan,AFG,2020-03-15,,,110.6,620.340648145364,,
Afghanistan,AFG,2020-03-16,4,,131,686.664257000586,,
Afghanistan,AFG,2020-03-17,4.25,,155.12,753.818984647739,,
Afghanistan,AFG,2020-03-18,3.75,,187.09,820.981071092204,,
Afghanistan,AFG,2020-03-19,3,,216.74,887.446543425923,,
Afghanistan,AFG,2020-03-20,2.5,,254.27,952.660403969867,,
