Entity,Code,Date,daily_new_confirmed,annotations,ihme_mean,ihme_lower,ihme_upper
Australia,AUS,2020-01-02,0.0,,,,
Australia,AUS,2020-01-03,0.0,,,,
Australia,AUS,2020-01-04,0.0,,,,
Australia,AUS,2020-01-05,0.0,,,,
Australia,AUS,2020-01-06,0.0,,,,
Australia,AUS,2020-01-07,0.0,,,,
Australia,AUS,2020-01-08,0.0,,,,
Australia,AUS,2020-01-09,0.0,,,,
Australia,AUS,2020-01-10,0.0,,,,
Australia,AUS,2020-01-11,0.0,,,,
Australia,AUS,2020-01-12,0.0,,,,
Australia,AUS,2020-01-13,0.0,,,,
Australia,AUS,2020-01-14,0.0,,,,
Australia,AUS,2020-01-15,0.0,,,,
Australia,AUS,2020-01-16,0.0,,,,
Australia,AUS,2020-01-17,0.0,,,,
Australia,AUS,2020-01-18,0.0,,,,
Australia,AUS,2020-01-19,0.0,,,,
Australia,AUS,2020-01-20,0.0,,,,
Australia,AUS,2020-01-21,0.0,,,,
Australia,AUS,2020-01-22,0.0,,,,
Australia,AUS,2020-01-23,0.0,,,,
Australia,AUS,2020-01-24,0.0,,,,
Australia,AUS,2020-01-25,0.14286,,,,
Australia,AUS,2020-01-26,0.57143,,,,
Australia,AUS,2020-01-27,0.57143,,,,
Australia,AUS,2020-01-28,0.57143,,,,
Australia,AUS,2020-01-29,0.57143,,,,
Australia,AUS,2020-01-30,0.85714,,,,
Australia,AUS,2020-01-31,1.0,,,,
Australia,AUS,2020-02-01,1.14286,,,,
Australia,AUS,2020-02-02,1.0,,,,
Australia,AUS,2020-02-03,1.0,,,,
Australia,AUS,2020-02-04,1.0,,6.54985349824332,4.40871230531612,9.15934105611667
Australia,AUS,2020-02-05,1.14286,,6.81046330758315,4.62199336585261,9.43607443522499
Australia,AUS,2020-02-06,1.0,,7.10071475863177,4.845762210815519,9.725529425951212
Australia,AUS,2020-02-07,1.0,,7.426617933913589,5.103135487603519,10.0562980103289
Australia,AUS,2020-02-08,0.71429,,7.7931402738283895,5.3860358794673004,10.485873864971499
Australia,AUS,2020-02-09,0.42857,,8.20411066671148,5.72988729659596,10.996603349089
Australia,AUS,2020-02-10,0.42857,,8.66238342742472,6.15126331976731,11.489334990251301
Australia,AUS,2020-02-11,0.42857,,9.170174771319891,6.609503847809191,12.064505229017902
Australia,AUS,2020-02-12,0.28570999999999996,,9.72949269679791,7.117969021981599,12.6987613800834
Australia,AUS,2020-02-13,0.14286,,10.342324908517599,7.61335566192727,13.520736002262401
Australia,AUS,2020-02-14,0.14286,,11.0108365151281,8.20053739238132,14.3965007297374
Australia,AUS,2020-02-15,0.14286,,11.7376371416898,8.813978526207132,15.205725960453998
Australia,AUS,2020-02-16,0.14286,,12.526152815541899,9.4799361517269,16.2071696378327
Australia,AUS,2020-02-17,0.14286,,13.3813762951871,10.209020562368599,17.371756294520498
Australia,AUS,2020-02-18,0.14286,,14.311025217724302,10.7465200852486,18.5868442965192
Australia,AUS,2020-02-19,0.14286,,15.326995181723301,11.6148308099311,19.9864324260404
