Entity,Code,Date,daily_new_confirmed,annotations,yyg_mean,yyg_lower,yyg_upper
Australia,AUS,2020-01-02,0.0,,,,
Australia,AUS,2020-01-03,0.0,,,,
Australia,AUS,2020-01-04,0.0,,,,
Australia,AUS,2020-01-05,0.0,,,,
Australia,AUS,2020-01-06,0.0,,,,
Australia,AUS,2020-01-07,0.0,,,,
Australia,AUS,2020-01-08,0.0,,,,
Australia,AUS,2020-01-09,0.0,,,,
Australia,AUS,2020-01-10,0.0,,,,
Australia,AUS,2020-01-11,0.0,,,,
Australia,AUS,2020-01-12,0.0,,,,
Australia,AUS,2020-01-13,0.0,,,,
Australia,AUS,2020-01-14,0.0,,,,
Australia,AUS,2020-01-15,0.0,,,,
Australia,AUS,2020-01-16,0.0,,,,
Australia,AUS,2020-01-17,0.0,,,,
Australia,AUS,2020-01-18,0.0,,,,
Australia,AUS,2020-01-19,0.0,,,,
Australia,AUS,2020-01-20,0.0,,,,
Australia,AUS,2020-01-21,0.0,,,,
Australia,AUS,2020-01-22,0.0,,,,
Australia,AUS,2020-01-23,0.0,,,,
Australia,AUS,2020-01-24,0.0,,,,
Australia,AUS,2020-01-25,0.14286,,,,
Australia,AUS,2020-01-26,0.57143,,,,
Australia,AUS,2020-01-27,0.57143,,,,
Australia,AUS,2020-01-28,0.57143,,,,
Australia,AUS,2020-01-29,0.57143,,,,
Australia,AUS,2020-01-30,0.85714,,,,
Australia,AUS,2020-01-31,1.0,,,,
Australia,AUS,2020-02-01,1.14286,,,,
Australia,AUS,2020-02-02,1.0,,,,
Australia,AUS,2020-02-03,1.0,,,,
Australia,AUS,2020-02-04,1.0,,,,
Australia,AUS,2020-02-05,1.14286,,,,
Australia,AUS,2020-02-06,1.0,,32.0,16.0,47.0
Australia,AUS,2020-02-07,1.0,,32.0,16.0,47.0
Australia,AUS,2020-02-08,0.71429,,32.0,16.0,47.0
Australia,AUS,2020-02-09,0.42857,,32.0,16.0,47.0
Australia,AUS,2020-02-10,0.42857,,32.0,16.0,47.0
Australia,AUS,2020-02-11,0.42857,,32.0,16.0,47.0
Australia,AUS,2020-02-12,0.28570999999999996,,32.0,16.0,47.0
Australia,AUS,2020-02-13,0.14286,,32.0,16.0,47.0
Australia,AUS,2020-02-14,0.14286,,32.0,16.0,47.0
Australia,AUS,2020-02-15,0.14286,,70.0,35.0,108.0
Australia,AUS,2020-02-16,0.14286,,70.0,35.0,108.0
Australia,AUS,2020-02-17,0.14286,,72.0,36.0,112.0
Australia,AUS,2020-02-18,0.14286,,77.0,38.0,120.0
Australia,AUS,2020-02-19,0.14286,,86.0,41.0,138.0
Australia,AUS,2020-02-20,0.14286,,101.0,46.0,164.0
Australia,AUS,2020-02-21,0.28570999999999996,,112.0,50.0,185.0
Australia,AUS,2020-02-22,0.85714,,120.0,53.0,202.0
Australia,AUS,2020-02-23,1.0,,130.0,56.0,221.0
Australia,AUS,2020-02-24,1.0,,140.0,58.0,243.0
Australia,AUS,2020-02-25,1.0,,153.0,62.0,272.0
Australia,AUS,2020-02-26,1.0,,167.0,65.0,300.0
